Codigo;Descripcion;Estado;Stock Minimo;Q Stock;Etapa en ejecución;Q pptada etapa;Q comprada;Qpptada x Lote;Q recibida;Q entregada;Qprom semana
1194652;ACRIZINC NEGRO 1 GAL;STOCK BAJO NIVEL CRITICO;2,5;0;015;6,5;6;;6;4;
1269909;ADHESIVO AC EN PASTA 25 KG;STOCK OK;7,888;24;014;23,5;23,5;;23,5;24,5;
1177641;ADHESIVO EN POLVO 25 KG 1 SAC O;STOCK OK;47,25;96;015;142;142;;142;129;
1261106;ALFOMBRA SPEED BEIGE 400 1 M2;STOCK OK;263,55;700,2;014;754,6;746,2;;746,2;23;
1177895;ANTICORROSIVO NEGRO 1 GAL;STOCK BAJO NIVEL CRITICO;2,5;0;015;1,6;2;;2;0,5;
1274812;BASE COAT 20 KG 1 SACO;STOCK OK;95,25;120;016;53,1;50;;50;2,1;
1178193;"BROCHA 2"" 1 UN";STOCK BAJO NIVEL CRITICO;15;0;013;27;46;;46;16;
1179508;"BROCHA 4"" 1 UN";STOCK OK;11,25;41;014;37,5;58,8;;58,8;17,3;
1208153;CALEFON SPLENDID 10 LTS IONIZA DO G.L. 1 UN CON FLEXIBLES;STOCK BAJO NIVEL CRITICO;5;0;014;12;12;;12;6;
1191849;CALEFON SPLENDID 7 LTS IONIZAD O 1 UN CON FLEXIBLES;STOCK BAJO NIVEL CRITICO;5;0;014;5;5;;5;5;
1178222;"CANERIA CU 3/4"" TIPO L 1 ML";STOCK OK;10;135;014;34;34;;34;15;
1191945;CAVE TECNOBOND 20 KG;STOCK OK;0,88;3,5;014;2,1;2,1;;2,1;1,5;
1189722;CELOSIA 20 X 20 BLANCA 1 UN;STOCK OK;15;115;014;46;46;;20;0;
1286080;CERAMICA SOLANA BEIGE 45 X 45;STOCK OK;165,6375;234,4;015;497;497;;497;316,6;
1295381;CERAMICA NEW BLANCA BRILL 20 X;STOCK OK;51,765;178,1;014;154,1;89;;89;46,5;
1193027;CERRADURA CILINDRICA INOX YALE ACCESO LLAVE 1 UN;STOCK OK;5;15;014;17;17;;17;17;
1193060;CERRADURA CILINDRICA INOX YALE BANO 134640 1 UN;STOCK OK;10;29;014;17;29;;29;29;
1248251;CERRADURA CILINDRICA INOX YALE OFICINA-DORMITORIO 134630 1 UN;STOCK BAJO NIVEL CRITICO;5;0;014;17;34;;34;94;
1193086;CERRADURA CILINDRICA INOX YALE S/PASO 1 UN;CERCA DE NIVEL CRITICO;20;22;014;29;29;;29;5;
1252664;CERROJO INOX LLAVE LLAVE 1 UN;STOCK OK;5;64;014;34;34;;34;34;
1179591;"DESAGUE LAVATORIO 1 1/4"" 1 UN";STOCK BAJO NIVEL CRITICO;10;5;014;17;29;;29;29;
1256198;"DESAGUE LAVATORIO 1 1/4"" C/REB /REJ 1 UN";STOCK OK;10;28;#N/D;#N/D;#N/D;;#N/D;#N/D;
1177879;DESAGUE TINA/REBALSE/SIFON 1 UN;STOCK OK;10;24;014;17;29;;29;29,9;
1290581;ESTANQUE LUGANO 1 UN;STOCK OK;10;215;#N/D;#N/D;#N/D;;#N/D;#N/D;
1291188;EXTRACTOR RETON 100 BTH HIGRO 1 UN;STOCK OK;15;42;014;46;46;;46;6;
1208621;FRAGUE CERAMICO ALMOND 1 KG;STOCK OK;63,1;120;013;109,4;108,8;;108,8;104,3;
1179524;FRAGUE CERAMICO BLANCO 1 KG;STOCK OK;19,72;31;014;58,7;58,4;;58,4;56,8;
1182889;LANA DE VIDRIO 100 MM 1 M2;STOCK OK;400;783;014;243,1;235,7;;235,7;187,2;
1194492;LANA DE VIDRIO 140 MM 1 M2;STOCK OK;400;693;013;783,7;783;;783;10,4;
1295453;LATEX CIELOLAT BLANCO 1T;STOCK OK;12;34;014;36,3;43;;43;25,8;
1295488;LATEX CIELOLAT MARFIL 1T;STOCK OK;15;47,2;014;46,5;46,5;;46,5;23,7;
1192260;LAVAMANOS VALENCIA 1 UN;STOCK OK;10;103;011;17;29;;29;5;
1189191;LAVAPLATO ACERO INOX. DERECHO 0,80 MTS CEMCO 1 UN;STOCK OK;5;11;012;4;4;;4;1;
1189175;LAVAPLATO ACERO INOX. IZQUIERD O 0,80 MTS CEMCO 1 UN;STOCK OK;5;10;012;14;14;;14;11;
1251346;MALLA DE FIBRA DE VIDRIO 1X50 MTS 1 UN;STOCK OK;8,125;28,1;015;24,1;24,1;;24,1;19,2;
1270432;MARMOLINA BEIGE (25 KG) 1 TINETA;CERCA DE NIVEL CRITICO;9,533333333;11;011;86,6;28;;28;1;
1270483;MARMOLINA BLANCA (25 KG) 1 TINETA;STOCK OK;1,25;36;014;71,6;15;;15;13,5;
1270459;MARMOLINA GRIS ARENA (25 KG) 1 TINETA;STOCK OK;9,533333333;30;014;71,6;30;;30;14,1;
1270441;MARMOLINA MOSTAZA (25 KG) 1 TINETA;STOCK OK;9,533333333;18;014;71,6;3;;3;15;
1192956;MASTERSEAL 550 30 KG 1 JUEGO;STOCK OK;5;20;015;15;15;;15;10;
1274821;MASTERWALL BEIGE (IC) 23 KG 1 TINETA;STOCK OK;1,833333333;12;013;12,1;4,1;;4,1;1;
1274839;MASTERWALL GRIS ARENA(SR) 23KG 1 TINETA;STOCK OK;1,833333333;11;014;13,2;6,7;;6,7;1;
1274847;MASTERWALL MOSTAZA (GS) 23 KG 1 TINETA;STOCK OK;1,833333333;13;013;12,1;4,1;;4,1;1;
1182803;"MEDIDOR AGUA POTABLE 3/4"" 1 U N";STOCK OK;5;33;013;11;12;;12;12;
1299451;PASTA MURO CI-2005 24 KG 1 TIN;STOCK OK;18;38;#N/D;#N/D;#N/D;;#N/D;#N/D;
1264585;MONOMANDO LAVAPLATO LINEA ORNE LLA STRETTO 1 UN;STOCK OK;5;17;013;11;14;;14;11;
1184121;MONOMANDO LAVATORIO ORNELLA MO SAICO 1 UN;STOCK OK;10;26;013;11;24;;24;19;
1184139;MONOMANDO TINA-DUCHA ORNELLA M OSAICO 1 UN;STOCK OK;10;29;013;11;22;;22;19;
1182483;MUEBLE LAVAPLATO 0,8 MTS 1 UN;STOCK BAJO NIVEL CRITICO;5;0;014;17;17;;17;10;
1274791;NIVELADOR AOCEM MIX-A (20 KG) 1 SACO;STOCK OK;15,215;94,8;014;54,6;45,3;;45,3;12,2;
1180074;OLEO OPACO BLANCO 1 GAL;STOCK OK;8,5;57;012;28;28;;28;11,6;
1183945;OLEO OPACO MARFIL 1 GAL;STOCK OK;2,5;14;011;12,9;12,9;;12,9;9,2;
1183136;PAPEL FIELTRO 10/40 1 ROLLO;STOCK BAJO NIVEL CRITICO;20;5,7;016;43,3;43,3;;43,3;40,9;
1191662;PEDESTAL UNIVERSAL 1 UN;STOCK OK;10;236;#N/D;#N/D;#N/D;;#N/D;#N/D;
1201470;PEGAMENTO ALFOMBRA PATEL;STOCK OK;4,15;24,6;014;10,9;10,9;;10,9;0,2;
1178821;"PINO 2"" X 10"" X 3,20 MT CEPIL LADO";STOCK BAJO NIVEL CRITICO;20;3;014;48;48;;48;36;
1193713;"PINO 2"" X 2"" X 3,20 MT IMPREGN ADO";STOCK BAJO NIVEL CRITICO;447,5;0;016;941;940,5;;940,5;829;
1188105;PLANCHA FIBROCEMENTO 4 MM 1 P LANCHA;STOCK BAJO NIVEL CRITICO;80;75;016;60;53;;53;72;
1192999;PLANCHA OSB STD 9,5 MM X 2,44 X 1,22 MTS 1 PLANCHA;STOCK OK;5;57;015;22;22;;22;9;
1179698;PLANCHA YESO-CARTON ST 10 MM 1 ,20 X 2,40 1 PLANCHA;STOCK OK;300;468;015;856;856;;856;705;
1278928;POLIESTIRENO EXP. 30 MM (20KG/ M3) 1 PLANCHA;STOCK OK;75;474;016;165;165;;165;210;
1278944;POLIESTIRENO EXP. 70 MM (20KG/ M3) 1 PLANCHA;STOCK OK;60;80;015;156;156;;156;120;
1278952;POLIESTIRENO EXP. 80 MM (20KG/ M3) 1 PLANCHA;STOCK OK;665;1675;015;2025;2026;;2026;2025;
1192112;PUERTA HDF PRESTIGE 0,65 X 2 M T INTERIOR 1 UN;STOCK OK;5;11;015;13;13;;13;10;
1192121;PUERTA HDF PRESTIGE 0,70 X 2 M T INTERIOR 1 UN;STOCK OK;20;76;015;32;58;;58;20;
1188471;PUERTA TERCIADO 0,75 X 2 MTS. EXT. C/C 1 UN;STOCK OK;5;17;014;17;17;;17;17;
1260955;PUERTA PROTEGIDA HDF 0,8X2MTS PRESTIGE;STOCK OK;5;26;014;17;17;;17;18;
1187241;REGULADOR P/GAS 45KG RI 11100 1 UN;STOCK OK;5;17;012;18;18;;18;14;
1196455;SILICONA SANISIL BLCO 1 UN;STOCK OK;7;32;013;13,3;13;;13;7,6;
1177650;SILICONA SIKACRYL AS BLANCO P;STOCK OK;35;141;012;114;396;;396;247;
1187671;"TAPACAN SMARTSIDE TRIM 5 1/2"" LP 1 UN";STOCK BAJO NIVEL CRITICO;27,5;26;016;44;54,5;;54,5;44;
1187751;"TAPACAN SMARTSIDE TRIM 7 1/4"" LP 1 UN";STOCK BAJO NIVEL CRITICO;22,5;3,5;016;49,5;49;;49;49,5;
1188463;TERCIADO ESTRUCTURAL 12 MM 1 PLANCHA;STOCK BAJO NIVEL CRITICO;5;1;014;12;12;;12;9;
1177490;THOMSIT MONTAJE PL 500 3,8 KG 1 GAL;STOCK OK;15;25,3;014;26,8;44,3;;44,3;28;
1180331;TINA 1,20 X 0,70 MTS BLANCA ES MALTADA 1 UN;STOCK OK;5;15;014;12;12;;12;11,9;
1256817;TINA BAÑO 1,3X0,7 BLANCA 1UN;STOCK OK;5;16;014;17;17;;17;18;
1272315;TUBERIA PEX 20 MM;STOCK OK;35;247;#N/D;#N/D;#N/D;;#N/D;#N/D;
1198151;VENTANA TECHO 55 X 78 CM 1 UN;STOCK BAJO NIVEL CRITICO;5;2;016;8;8;;8;8;
1275065;"VENTILACION PASIVA 4"" 1 UN";STOCK OK;25;78;013;49;55;;55;47;
1290599;WC LUGANO DESC. MURO 1 UN;STOCK OK;5;90;#N/D;#N/D;#N/D;;#N/D;#N/D;
1290601;WC LUGANO DESC. PISO 1 UN;STOCK OK;5;119;012;18;18;;18;8;
1268615;YESO EXPRESS 25 KG;STOCK OK;56,25;110;014;177,2;177,2;;177,2;250,8;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
;;STOCK OK;;;016;77;77;;0;0;
